"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2024,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"First-line supervisors of mechanics, installers, and repairers",275,"1,382",251,"1,396",24,–
"Computer, automated teller, and office machine repairers",92,"1,066",83,"1,094",9,–
Radio and telecommunications equipment installers and repairers,86,"1,198",76,"1,219",10,–
Avionics technicians,13,–,12,–,1,–
"Electric motor, power tool, and related repairers",13,–,13,–,0,–
"Electrical and electronics installers and repairers, transportation equipment",1,–,1,–,0,–
"Electrical and electronics repairers, industrial and utility",7,–,7,–,0,–
"Electronic equipment installers and repairers, motor vehicles",6,–,6,–,0,–
Audiovisual equipment installers and repairers,12,–,12,–,0,–
Security and fire alarm systems installers,53,"1,158",51,"1,170",2,–
Aircraft mechanics and service technicians,161,"1,297",151,"1,321",10,–
Automotive body and related repairers,89,993,86,959,3,–
Automotive glass installers and repairers,17,–,17,–,0,–
Automotive service technicians and mechanics,712,"1,036",690,"1,031",21,–
Bus and truck mechanics and diesel engine specialists,265,"1,135",262,"1,147",3,–
Heavy vehicle and mobile equipment service technicians and mechanics,183,"1,272",178,"1,269",5,–
Small engine mechanics,29,–,29,–,0,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",65,820,64,826,1,–
Control and valve installers and repairers,25,–,25,–,0,–
"Heating, air conditioning, and refrigeration mechanics and installers",423,"1,158",407,"1,185",16,–
Home appliance repairers,27,–,27,–,0,–
Industrial and refractory machinery mechanics,349,"1,253",329,"1,278",19,–
"Maintenance and repair workers, general",615,"1,029",594,"1,053",21,–
"Maintenance workers, machinery",27,–,27,–,0,–
Millwrights,46,–,46,–,0,–
Electrical power-line installers and repairers,127,"1,482",124,"1,478",2,–
Telecommunications line installers and repairers,120,"1,134",114,"1,159",6,–
